location,year,pathogen,antibiotic,n_tested,n_resistant
Finland,2018,K.pneumoniae,ceftriaxone,5313,508
Finland,2018,K.pneumoniae,ciprofloxacin,11122,546
Finland,2018,K.pneumoniae,meropenem,2062,4
Finland,2018,K.pneumoniae,trimethoprim/sulfamethoxazole,2576,656
Finland,2019,Acinetobacter,meropenem,50,0
Finland,2019,E.coli,ampicillin,3174,1126
Finland,2019,E.coli,cefotaxime,244,19
Finland,2019,E.coli,ceftazidime,5946,339
Finland,2019,E.coli,ceftriaxone,6219,473
Finland,2019,E.coli,ciprofloxacin,4462,542
Finland,2019,E.coli,ertapenem,2972,11
Finland,2019,E.coli,imipenem,275,1
Finland,2019,E.coli,levofloxacin,1991,193
Finland,2019,E.coli,meropenem,6172,0
Finland,2019,E.coli,tinidazole,244,19
Finland,2019,K.pneumoniae,cefotaxime,28,5
Finland,2019,K.pneumoniae,ceftazidime,913,56
Finland,2019,K.pneumoniae,ceftriaxone,955,60
Finland,2019,K.pneumoniae,ciprofloxacin,723,57
Finland,2019,K.pneumoniae,ertapenem,538,10
Finland,2019,K.pneumoniae,imipenem,35,1
Finland,2019,K.pneumoniae,levofloxacin,263,21
Finland,2019,K.pneumoniae,meropenem,945,2
Finland,2019,S.aureus,meticillin,1494,31
Finland,2019,S.aureus,oxacillin,1494,31
Finland,2019,S.pneumoniae,benzylpenicillin,628,4
Finland,2019,N.gonorrhoeae,ceftriaxone,123,0
Finland,2019,Salmonella,ceftazidime,114,5
Finland,2019,Salmonella,ceftriaxone,512,11
Finland,2019,Salmonella,ciprofloxacin,583,91
Finland,2019,Salmonella,levofloxacin,19,0
Finland,2019,Salmonella,meropenem,137,0
Finland,2019,E.coli,ampicillin,123,123
Finland,2019,E.coli,cefotaxime,336,146
Finland,2019,E.coli,ceftazidime,10747,2904
Finland,2019,E.coli,ceftriaxone,47068,5312
Finland,2019,E.coli,ciprofloxacin,94798,7996
Finland,2019,E.coli,ertapenem,3379,37
Finland,2019,E.coli,imipenem,294,0
Finland,2019,E.coli,levofloxacin,5373,1138
Finland,2019,E.coli,meropenem,11546,3
Finland,2019,E.coli,trimethoprim/sulfamethoxazole,39235,8340
Finland,2019,K.pneumoniae,cefotaxime,24,19
Finland,2019,K.pneumoniae,ceftazidime,2324,442
Finland,2019,K.pneumoniae,ceftriaxone,5474,582
Finland,2019,K.pneumoniae,ciprofloxacin,10735,569
Finland,2019,K.pneumoniae,ertapenem,639,27
Finland,2019,K.pneumoniae,imipenem,45,0
Finland,2019,K.pneumoniae,levofloxacin,612,97
Finland,2019,K.pneumoniae,meropenem,2213,4
Finland,2019,K.pneumoniae,trimethoprim/sulfamethoxazole,4809,974
Finland,2020,E.coli,tinidazole,6068,402
Finland,2020,S.aureus,meticillin,1428,17
Finland,2020,N.gonorrhoeae,ceftriaxone,86,0
Finland,2020,Salmonella,ceftriaxone,254,6
Finland,2020,Salmonella,ciprofloxacin,357,32
Finland,2020,Salmonella,meropenem,64,2
Finland,2020,E.coli,ampicillin,134,132
Finland,2020,E.coli,ceftazidime,8156,2892
Finland,2020,E.coli,ceftriaxone,42718,4760
Finland,2020,E.coli,ciprofloxacin,93235,7594
Finland,2020,E.coli,meropenem,11873,0
Finland,2020,E.coli,trimethoprim/sulfamethoxazole,49166,9699
Finland,2020,K.pneumoniae,ceftazidime,1932,425
Finland,2020,K.pneumoniae,ceftriaxone,5097,568
Finland,2020,K.pneumoniae,ciprofloxacin,10802,623
Finland,2020,K.pneumoniae,meropenem,2082,2
Finland,2020,K.pneumoniae,trimethoprim/sulfamethoxazole,6028,1197
France,2017,E.coli,tinidazole,13352,1365
France,2017,S.aureus,meticillin,6472,836
France,2018,E.coli,tinidazole,12614,1210
France,2018,S.aureus,meticillin,6903,836
France,2019,Acinetobacter,amikacin,425,52
France,2019,Acinetobacter,colistin,34,1
France,2019,Acinetobacter,gentamicin,427,58
France,2019,Acinetobacter,imipenem,470,43
France,2019,Acinetobacter,meropenem,162,22
France,2019,E.coli,ampicillin,8469,4628
France,2019,E.coli,cefepime,10283,621
France,2019,E.coli,cefotaxime,12093,994
France,2019,E.coli,ceftazidime,12971,805
France,2019,E.coli,ceftriaxone,4739,430
France,2019,E.coli,ciprofloxacin,13076,1638
France,2019,E.coli,colistin,655,5
France,2019,E.coli,imipenem,12605,6
France,2019,E.coli,levofloxacin,5455,689
France,2019,E.coli,meropenem,2590,6
France,2019,E.coli,tinidazole,4739,430
France,2019,K.pneumoniae,cefepime,2529,584
France,2019,K.pneumoniae,cefotaxime,2873,793
France,2019,K.pneumoniae,ceftazidime,3057,835
France,2019,K.pneumoniae,ceftriaxone,1177,348
France,2019,K.pneumoniae,ciprofloxacin,3085,858
France,2019,K.pneumoniae,colistin,281,10
France,2019,K.pneumoniae,imipenem,2990,27
France,2019,K.pneumoniae,levofloxacin,1410,265
France,2019,K.pneumoniae,meropenem,848,10
France,2019,S.aureus,cefoxitin,3698,463
France,2019,S.aureus,meticillin,3698,463
France,2019,S.aureus,oxacillin,6424,747
France,2019,S.pneumoniae,benzylpenicillin,1264,25
France,2019,S.pneumoniae,cefotaxime,1264,1
France,2020,E.coli,tinidazole,5718,596
France,2020,S.aureus,meticillin,4113,497
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,tinidazole,27925,2864
United Kingdom of Great Britain and Northern Ireland,2017,S.aureus,meticillin,8883,615
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,ampicillin,700045,361004
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,cefepime,111988,9327
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,cefotaxime,151814,22429
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,ceftazidime,206155,24994
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,ceftriaxone,53249,5713
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,ciprofloxacin,767049,80686
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,ertapenem,328193,490
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,imipenem,27694,39
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,levofloxacin,35440,3648
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,meropenem,276950,130
United Kingdom of Great Britain and Northern Ireland,2017,E.coli,trimethoprim/sulfamethoxazole,60381,18580
United Kingdom of Great Britain and Northern Ireland,2017,K.pneumoniae,cefepime,15908,1685
United Kingdom of Great Britain and Northern Ireland,2017,K.pneumoniae,cefotaxime,18908,3277
United Kingdom of Great Britain and Northern Ireland,2017,K.pneumoniae,ceftazidime,23336,3916
United Kingdom of Great Britain and Northern Ireland,2017,K.pneumoniae,ceftriaxone,6536,926
United Kingdom of Great Britain and Northern Ireland,2017,K.pneumoniae,ciprofloxacin,43787,5525
United Kingdom of Great Britain and Northern Ireland,2017,K.pneumoniae,ertapenem,30605,350
United Kingdom of Great Britain and Northern Ireland,2017,K.pneumoniae,imipenem,3697,28
United Kingdom of Great Britain and Northern Ireland,2017,K.pneumoniae,levofloxacin,3715,308
United Kingdom of Great Britain and Northern Ireland,2017,K.pneumoniae,meropenem,29459,160
United Kingdom of Great Britain and Northern Ireland,2017,K.pneumoniae,trimethoprim/sulfamethoxazole,6979,2409
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,tinidazole,28676,3145
United Kingdom of Great Britain and Northern Ireland,2018,S.aureus,meticillin,9045,659
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,ampicillin,751551,380972
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,cefepime,109425,11118
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,cefotaxime,157062,26603
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,ceftazidime,211356,29705
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,ceftriaxone,65248,7030
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,ciprofloxacin,816875,89172
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,ertapenem,351561,455
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,imipenem,35006,24
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,levofloxacin,47049,5141
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,meropenem,296601,125
United Kingdom of Great Britain and Northern Ireland,2018,E.coli,trimethoprim/sulfamethoxazole,70313,24328
United Kingdom of Great Britain and Northern Ireland,2018,K.pneumoniae,cefepime,15128,2060
United Kingdom of Great Britain and Northern Ireland,2018,K.pneumoniae,cefotaxime,19620,4106
United Kingdom of Great Britain and Northern Ireland,2018,K.pneumoniae,ceftazidime,24563,4870
United Kingdom of Great Britain and Northern Ireland,2018,K.pneumoniae,ceftriaxone,10285,1208
United Kingdom of Great Britain and Northern Ireland,2018,K.pneumoniae,ciprofloxacin,46414,7271
United Kingdom of Great Britain and Northern Ireland,2018,K.pneumoniae,ertapenem,32648,508
United Kingdom of Great Britain and Northern Ireland,2018,K.pneumoniae,imipenem,4987,35
United Kingdom of Great Britain and Northern Ireland,2018,K.pneumoniae,levofloxacin,5259,546
United Kingdom of Great Britain and Northern Ireland,2018,K.pneumoniae,meropenem,31397,184
United Kingdom of Great Britain and Northern Ireland,2018,K.pneumoniae,trimethoprim/sulfamethoxazole,8686,3382
United Kingdom of Great Britain and Northern Ireland,2019,Acinetobacter,amikacin,314,9
United Kingdom of Great Britain and Northern Ireland,2019,Acinetobacter,gentamicin,692,32
United Kingdom of Great Britain and Northern Ireland,2019,Acinetobacter,imipenem,110,3
United Kingdom of Great Britain and Northern Ireland,2019,Acinetobacter,meropenem,689,15
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,ampicillin,23155,13810
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,cefepime,7189,805
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,cefotaxime,16845,1898
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,ceftazidime,22345,2459
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,ceftriaxone,7909,850
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,ciprofloxacin,27623,4953
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,ertapenem,25500,31
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,imipenem,3172,5
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,levofloxacin,2672,503
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,meropenem,27941,10
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,tinidazole,16845,1898
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,cefepime,1328,165
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,cefotaxime,3000,351
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,ceftazidime,4133,543
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,ceftriaxone,1427,166
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,ciprofloxacin,5047,642
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,ertapenem,4662,63
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,imipenem,632,7
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,levofloxacin,546,70
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,meropenem,5074,34
United Kingdom of Great Britain and Northern Ireland,2019,S.aureus,cefoxitin,1932,201
United Kingdom of Great Britain and Northern Ireland,2019,S.aureus,meticillin,1932,201
United Kingdom of Great Britain and Northern Ireland,2019,S.pneumoniae,benzylpenicillin,3556,48
United Kingdom of Great Britain and Northern Ireland,2019,S.pneumoniae,cefotaxime,1131,1
United Kingdom of Great Britain and Northern Ireland,2019,S.pneumoniae,ceftriaxone,861,2
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,ampicillin,711243,344948
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,cefepime,108425,12721
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,cefotaxime,221371,24789
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,ceftazidime,270461,29340
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,ceftriaxone,87398,8730
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,ciprofloxacin,822931,87265
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,ertapenem,439827,630
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,imipenem,33716,35
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,levofloxacin,53089,5658
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,meropenem,397232,157
United Kingdom of Great Britain and Northern Ireland,2019,E.coli,trimethoprim/sulfamethoxazole,62651,14905
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,cefepime,14294,2058
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,cefotaxime,27867,3783
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,ceftazidime,33819,4777
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,ceftriaxone,12590,1569
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,ciprofloxacin,57770,7664
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,ertapenem,44910,541
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,imipenem,4240,43
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,levofloxacin,5896,529
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,meropenem,44416,191
United Kingdom of Great Britain and Northern Ireland,2019,K.pneumoniae,trimethoprim/sulfamethoxazole,7927,2127
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,tinidazole,14362,1500
United Kingdom of Great Britain and Northern Ireland,2020,S.aureus,meticillin,1544,60
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,ampicillin,576712,285973
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,cefepime,78764,8065
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,cefotaxime,176994,18116
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,ceftazidime,207900,20786
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,ceftriaxone,64670,6260
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,ciprofloxacin,605515,66023
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,ertapenem,339155,557
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,imipenem,25802,35
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,levofloxacin,40255,4114
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,meropenem,300783,135
United Kingdom of Great Britain and Northern Ireland,2020,E.coli,trimethoprim/sulfamethoxazole,53214,12351
United Kingdom of Great Britain and Northern Ireland,2020,K.pneumoniae,cefepime,12273,1612
United Kingdom of Great Britain and Northern Ireland,2020,K.pneumoniae,cefotaxime,22211,2774
United Kingdom of Great Britain and Northern Ireland,2020,K.pneumoniae,ceftazidime,26240,3541
United Kingdom of Great Britain and Northern Ireland,2020,K.pneumoniae,ceftriaxone,9533,1150
United Kingdom of Great Britain and Northern Ireland,2020,K.pneumoniae,ciprofloxacin,46020,6394
United Kingdom of Great Britain and Northern Ireland,2020,K.pneumoniae,ertapenem,36044,479
United Kingdom of Great Britain and Northern Ireland,2020,K.pneumoniae,imipenem,4781,23
United Kingdom of Great Britain and Northern Ireland,2020,K.pneumoniae,levofloxacin,6202,712
United Kingdom of Great Britain and Northern Ireland,2020,K.pneumoniae,meropenem,35882,128
United Kingdom of Great Britain and Northern Ireland,2020,K.pneumoniae,trimethoprim/sulfamethoxazole,8177,1825
Georgia,2017,Acinetobacter,amikacin,17,12
Georgia,2017,Acinetobacter,gentamicin,21,16
Georgia,2017,Acinetobacter,imipenem,20,16
Georgia,2017,Acinetobacter,meropenem,18,14
Georgia,2017,E.coli,cefotaxime,10,5
Georgia,2017,E.coli,ceftazidime,16,7
Georgia,2017,E.coli,ceftriaxone,17,8
Georgia,2017,E.coli,ciprofloxacin,17,5
Georgia,2017,E.coli,imipenem,15,0
Georgia,2017,E.coli,levofloxacin,11,3
Georgia,2017,E.coli,meropenem,13,0
Georgia,2017,E.coli,tinidazole,10,5
Georgia,2017,K.pneumoniae,cefotaxime,25,22
Georgia,2017,K.pneumoniae,ceftazidime,36,32
Georgia,2017,K.pneumoniae,ceftriaxone,35,29
Georgia,2017,K.pneumoniae,ciprofloxacin,34,20
Georgia,2017,K.pneumoniae,colistin,19,3
Georgia,2017,K.pneumoniae,ertapenem,13,5
Georgia,2017,K.pneumoniae,imipenem,30,10
Georgia,2017,K.pneumoniae,levofloxacin,25,12
Georgia,2017,K.pneumoniae,meropenem,30,14
Georgia,2017,S.aureus,meticillin,24,1
Georgia,2018,Acinetobacter,amikacin,28,20
Georgia,2018,Acinetobacter,gentamicin,29,22
Georgia,2018,Acinetobacter,imipenem,28,24
Georgia,2018,Acinetobacter,meropenem,24,20
Georgia,2018,E.coli,cefotaxime,48,25
Georgia,2018,E.coli,ceftazidime,50,25
Georgia,2018,E.coli,ceftriaxone,50,27
Georgia,2018,E.coli,ciprofloxacin,49,24
Georgia,2018,E.coli,imipenem,48,4
Georgia,2018,E.coli,levofloxacin,46,23
Georgia,2018,E.coli,meropenem,42,4
Georgia,2018,E.coli,tinidazole,50,27
Georgia,2018,K.pneumoniae,cefotaxime,59,51
Georgia,2018,K.pneumoniae,ceftazidime,71,54
Georgia,2018,K.pneumoniae,ceftriaxone,70,59
Georgia,2018,K.pneumoniae,ciprofloxacin,71,35
Georgia,2018,K.pneumoniae,colistin,11,0
Georgia,2018,K.pneumoniae,ertapenem,13,8
Georgia,2018,K.pneumoniae,imipenem,74,20
Georgia,2018,K.pneumoniae,levofloxacin,59,34
Georgia,2018,K.pneumoniae,meropenem,60,20
Georgia,2018,S.aureus,meticillin,43,5
Georgia,2019,Acinetobacter,amikacin,38,21
Georgia,2019,Acinetobacter,colistin,26,0
Georgia,2019,Acinetobacter,gentamicin,82,31
Georgia,2019,Acinetobacter,imipenem,83,62
Georgia,2019,Acinetobacter,meropenem,82,63
Georgia,2019,E.coli,ampicillin,77,57
Georgia,2019,E.coli,cefotaxime,76,43
Georgia,2019,E.coli,ceftazidime,78,43
Georgia,2019,E.coli,ceftriaxone,76,42
Georgia,2019,E.coli,ciprofloxacin,78,33
Georgia,2019,E.coli,ertapenem,57,1
Georgia,2019,E.coli,imipenem,78,6
Georgia,2019,E.coli,levofloxacin,18,8
Georgia,2019,E.coli,meropenem,77,6
Georgia,2019,E.coli,tinidazole,76,43
Georgia,2019,K.pneumoniae,cefotaxime,120,92
Georgia,2019,K.pneumoniae,ceftazidime,133,102
Georgia,2019,K.pneumoniae,ceftriaxone,126,96
Georgia,2019,K.pneumoniae,ciprofloxacin,136,68
Georgia,2019,K.pneumoniae,colistin,13,0
Georgia,2019,K.pneumoniae,ertapenem,99,42
Georgia,2019,K.pneumoniae,imipenem,134,48
Georgia,2019,K.pneumoniae,levofloxacin,38,17
Georgia,2019,K.pneumoniae,meropenem,134,48
Georgia,2019,K.pneumoniae,trimethoprim/sulfamethoxazole,12,4
Georgia,2019,S.aureus,cefoxitin,91,13
Georgia,2019,S.aureus,meticillin,35,10
Georgia,2019,S.aureus,oxacillin,35,10
Georgia,2020,Acinetobacter,amikacin,80,50
Georgia,2020,Acinetobacter,gentamicin,166,93
Georgia,2020,Acinetobacter,imipenem,171,115
Georgia,2020,Acinetobacter,meropenem,172,117
Georgia,2020,E.coli,cefotaxime,126,51
Georgia,2020,E.coli,ceftazidime,134,57
Georgia,2020,E.coli,ceftriaxone,126,55
Georgia,2020,E.coli,ciprofloxacin,134,59
Georgia,2020,E.coli,imipenem,135,1
Georgia,2020,E.coli,levofloxacin,38,17
Georgia,2020,E.coli,meropenem,134,1
Georgia,2020,E.coli,tinidazole,126,55
Georgia,2020,K.pneumoniae,cefotaxime,191,153
Georgia,2020,K.pneumoniae,ceftazidime,223,167
Georgia,2020,K.pneumoniae,ceftriaxone,219,167
Georgia,2020,K.pneumoniae,ciprofloxacin,224,102
Georgia,2020,K.pneumoniae,colistin,42,0
Georgia,2020,K.pneumoniae,ertapenem,168,113
Georgia,2020,K.pneumoniae,imipenem,231,127
Georgia,2020,K.pneumoniae,levofloxacin,68,27
Georgia,2020,K.pneumoniae,meropenem,230,127
Georgia,2020,S.aureus,meticillin,139,28
Greece,2017,E.coli,tinidazole,1470,269
Greece,2017,S.aureus,meticillin,822,316
Greece,2018,E.coli,tinidazole,1640,317
Greece,2018,S.aureus,meticillin,888,323
Greece,2019,Acinetobacter,amikacin,1030,885
Greece,2019,Acinetobacter,gentamicin,1158,928
Greece,2019,Acinetobacter,imipenem,1134,1064
Greece,2019,Acinetobacter,meropenem,1104,1031
Greece,2019,E.coli,ampicillin,1596,903
Greece,2019,E.coli,cefepime,1467,181
Greece,2019,E.coli,cefotaxime,1491,296
Greece,2019,E.coli,ceftazidime,1833,258
Greece,2019,E.coli,ceftriaxone,1077,234
Greece,2019,E.coli,ciprofloxacin,1872,597
Greece,2019,E.coli,ertapenem,1416,20
Greece,2019,E.coli,imipenem,1795,26
Greece,2019,E.coli,meropenem,1453,23
Greece,2019,E.coli,tinidazole,1077,234
Greece,2019,E.coli,trimethoprim/sulfamethoxazole,1652,519
Greece,2019,K.pneumoniae,cefepime,1354,786
Greece,2019,K.pneumoniae,cefotaxime,1027,626
Greece,2019,K.pneumoniae,ceftazidime,1490,940
Greece,2019,K.pneumoniae,ceftriaxone,1202,842
Greece,2019,K.pneumoniae,ciprofloxacin,1503,994
Greece,2019,K.pneumoniae,ertapenem,956,514
Greece,2019,K.pneumoniae,imipenem,1463,844
Greece,2019,K.pneumoniae,meropenem,1374,801
Greece,2019,K.pneumoniae,trimethoprim/sulfamethoxazole,1310,720
Greece,2019,S.aureus,cefoxitin,227,88
Greece,2019,S.aureus,meticillin,1002,435
Greece,2019,S.aureus,oxacillin,1002,435
Greece,2019,E.coli,ampicillin,18372,8782
Greece,2019,E.coli,cefepime,11124,1215
Greece,2019,E.coli,cefotaxime,16649,2078
Greece,2019,E.coli,ceftazidime,19258,1682
Greece,2019,E.coli,ceftriaxone,6839,918
Greece,2019,E.coli,ciprofloxacin,19225,4222
Greece,2019,E.coli,ertapenem,11472,103
Greece,2019,E.coli,imipenem,18757,103
Greece,2019,E.coli,meropenem,13281,86
Greece,2019,E.coli,trimethoprim/sulfamethoxazole,18075,4506
Greece,2019,K.pneumoniae,cefepime,4097,1821
Greece,2019,K.pneumoniae,cefotaxime,3901,1661
Greece,2019,K.pneumoniae,ceftazidime,5404,2313
Greece,2019,K.pneumoniae,ceftriaxone,3077,1620
Greece,2019,K.pneumoniae,ciprofloxacin,5430,2738
Greece,2019,K.pneumoniae,ertapenem,3054,909
Greece,2019,K.pneumoniae,imipenem,5346,1726
Greece,2019,K.pneumoniae,meropenem,4337,1478
Greece,2019,K.pneumoniae,trimethoprim/sulfamethoxazole,4884,2077
Greece,2020,E.coli,tinidazole,323,79
Greece,2020,S.aureus,meticillin,413,170
Croatia,2017,E.coli,tinidazole,1148,189
Croatia,2017,S.aureus,meticillin,520,148
Croatia,2018,E.coli,tinidazole,1168,173
Croatia,2018,S.aureus,meticillin,458,121
Croatia,2019,Acinetobacter,amikacin,139,121
Croatia,2019,Acinetobacter,colistin,106,5
Croatia,2019,Acinetobacter,gentamicin,140,129
Croatia,2019,Acinetobacter,imipenem,143,132
Croatia,2019,Acinetobacter,meropenem,143,132
Croatia,2019,E.coli,ampicillin,1096,627
Croatia,2019,E.coli,cefotaxime,287,40
Croatia,2019,E.coli,ceftazidime,1074,153
Croatia,2019,E.coli,ceftriaxone,1078,168
Croatia,2019,E.coli,ciprofloxacin,1105,300
Croatia,2019,E.coli,imipenem,1090,2
Croatia,2019,E.coli,levofloxacin,386,87
Croatia,2019,E.coli,meropenem,1083,0
Croatia,2019,E.coli,tinidazole,1078,168
Croatia,2019,K.pneumoniae,cefotaxime,80,44
Croatia,2019,K.pneumoniae,ceftazidime,316,159
Croatia,2019,K.pneumoniae,ceftriaxone,316,165
Croatia,2019,K.pneumoniae,ciprofloxacin,318,184
Croatia,2019,K.pneumoniae,imipenem,325,31
Croatia,2019,K.pneumoniae,levofloxacin,110,59
Croatia,2019,K.pneumoniae,meropenem,325,38
Croatia,2019,S.aureus,cefoxitin,358,89
Croatia,2019,S.aureus,meticillin,358,89
Croatia,2019,S.aureus,oxacillin,29,6
Croatia,2019,S.pneumoniae,benzylpenicillin,114,3
Croatia,2019,S.pneumoniae,ceftriaxone,114,0
Croatia,2019,S.pneumoniae,oxacillin,153,33
Croatia,2019,Salmonella,ceftazidime,455,1
Croatia,2019,Salmonella,ceftriaxone,455,1
Croatia,2019,Salmonella,ciprofloxacin,455,24
Croatia,2019,Shigella,ceftazidime,20,0
Croatia,2019,Shigella,ceftriaxone,20,0
Croatia,2019,Shigella,ciprofloxacin,20,8
Croatia,2020,E.coli,tinidazole,159,29
Croatia,2020,S.aureus,meticillin,20,10
Indonesia,2019,Acinetobacter,amikacin,305,98
Indonesia,2019,Acinetobacter,doripenem,19,17
Indonesia,2019,Acinetobacter,gentamicin,315,184
Indonesia,2019,Acinetobacter,imipenem,53,37
Indonesia,2019,Acinetobacter,meropenem,299,153
Indonesia,2019,Acinetobacter,tigecycline,223,10
Indonesia,2019,E.coli,ampicillin,477,443
Indonesia,2019,E.coli,cefepime,492,177
Indonesia,2019,E.coli,cefotaxime,221,143
Indonesia,2019,E.coli,ceftazidime,583,298
Indonesia,2019,E.coli,ceftriaxone,576,404
Indonesia,2019,E.coli,ciprofloxacin,553,381
Indonesia,2019,E.coli,doripenem,13,2
Indonesia,2019,E.coli,ertapenem,474,10
Indonesia,2019,E.coli,imipenem,59,2
Indonesia,2019,E.coli,levofloxacin,151,98
Indonesia,2019,E.coli,meropenem,576,25
Indonesia,2019,E.coli,trimethoprim/sulfamethoxazole,424,260
Indonesia,2019,K.pneumoniae,cefepime,549,256
Indonesia,2019,K.pneumoniae,cefotaxime,283,223
Indonesia,2019,K.pneumoniae,ceftazidime,656,451
Indonesia,2019,K.pneumoniae,ceftriaxone,643,508
Indonesia,2019,K.pneumoniae,ciprofloxacin,614,357
Indonesia,2019,K.pneumoniae,colistin,17,0
Indonesia,2019,K.pneumoniae,doripenem,62,9
Indonesia,2019,K.pneumoniae,ertapenem,460,78
Indonesia,2019,K.pneumoniae,imipenem,137,19
Indonesia,2019,K.pneumoniae,levofloxacin,244,93
Indonesia,2019,K.pneumoniae,meropenem,648,96
Indonesia,2019,K.pneumoniae,trimethoprim/sulfamethoxazole,497,303
Indonesia,2019,Salmonella,cefotaxime,52,8
Indonesia,2019,Salmonella,ceftazidime,92,20
Indonesia,2019,Salmonella,ceftriaxone,91,19
Indonesia,2019,Salmonella,ciprofloxacin,86,9
Indonesia,2019,Salmonella,ertapenem,80,1
Indonesia,2019,Salmonella,meropenem,90,1
Indonesia,2019,S.aureus,cefoxitin,383,140
Indonesia,2019,S.aureus,oxacillin,404,161
Indonesia,2019,S.pneumoniae,benzylpenicillin,10,2
Indonesia,2019,S.pneumoniae,ceftriaxone,10,0
Indonesia,2019,S.pneumoniae,trimethoprim/sulfamethoxazole,10,2
Indonesia,2019,E.coli,ampicillin,1848,1677
Indonesia,2019,E.coli,cefepime,1600,703
Indonesia,2019,E.coli,cefotaxime,822,546
Indonesia,2019,E.coli,ceftazidime,2115,1134
Indonesia,2019,E.coli,ceftriaxone,2122,1508
Indonesia,2019,E.coli,ciprofloxacin,2008,1473
Indonesia,2019,E.coli,colistin,18,5
Indonesia,2019,E.coli,ertapenem,1797,41
Indonesia,2019,E.coli,imipenem,144,3
Indonesia,2019,E.coli,levofloxacin,522,367
Indonesia,2019,E.coli,meropenem,2092,52
Indonesia,2019,E.coli,trimethoprim/sulfamethoxazole,1901,1228
